Text,Cipher,IC
tzlqmcphejskpimqrbgtavjxhgmwqrhscxdvqancdwiqsgynynwwwi,Vigenere,0.03494060097833683
uatyqzjmkrzomxzoldfejqwpmxzjpptofvmytwipinwrfjmjjnivvk,Vigenere,0.04262753319357093
awlxkebgoaeqlseyijtteakvsyxfdcunpaqaxcxarlxekldolf,Vigenere,0.045714285714285714
kngdgrkmkajrxzieitvroovsvajhwfzskrqkamooolvvpojrpwwewqizh,Vigenere,0.043859649122807015
whavzzxdarbcrsrmtwrfrmrwrfudmswradpimqnrdltkjmzhmnwadwx,Vigenere,0.06127946127946128
utbzxerkawrldyvuglvzruvtuknjyznlnwrpbnnysyqsrwgtdnbqo,Vigenere,0.04354136429608128
xlneyylcdkcyxqcjjjwswngmxcmcvfnlscxayuaywuvtojjjtslunqywm,Vigenere,0.05137844611528822
vmtxzflssnpfaqrbkhlcikrqydyaggjyxctmygebjvfacvibynlezhsb,Vigenere,0.031818181818181815
akfmtgdicxdejbxxafbmtbxxnxasntxizqthbhroqkvytzvuqbzd,Vigenere,0.04524886877828054
aidiihalbytptxifibfruqvxnueituzjuozsfgoaaxiucnbd,Vigenere,0.04698581560283688
ovhxdnqaeforrkpfjisxnhmyczcjwtujrbvxmjjeqrnntogneosnbgcf,Vigenere,0.03701298701298701
qcdifjitqavjstatuxuxnmmahnhgezidmkrjtkexphyzenziitllyah,Vigenere,0.03771043771043771
itlxczfcknmlvdwgeejzwnmxqiosnjztmtzajmavzgnzusmozexsaao,Vigenere,0.04511784511784512
qugvhqhqcjzvtxcbvxbmruxikmbnayflujahceldwrxlmgkznvuiegfm,Vigenere,0.033116883116883114
czpgxylkbnfsfalhyukchoxhspnrlqfpujlcaydodtpuhoorowhysfu,Vigenere,0.041750841750841754
slsrpibvbfruteehgnnrnpjymrnncildiybutushcyzeedqil,Vigenere,0.04081632653061224
wwgdhmfxllnujrynminmcobeurkpoodacvnipdtthnvqvzxxiuxqhv,Vigenere,0.03284416491963662
vstrzvufdqqqhbqfvrcttlelumuvbkfwvnbkfweealtyuephsbeelkbidb,Vigenere,0.047186932849364795
ujjnedrjnomswlksosyqufthigkdofmljcbgkdotcbbzlxvdwzlj,Vigenere,0.03469079939668175
lepbuvjkwtvidyrevbvilfnxkqqpjqvuesrkvxmhyiqlemlbv,Vigenere,0.0467687074829932
fyatftqejjqpxlttbfjjzxavwhoktqznvhzrcbbqkysuisrbcfkvyky,Vigenere,0.039057239057239054
enjdjkhybzjuaqvpbnwjdyprlhxsdeysgkviigkvnnbuvrcihrcuvq,Vigenere,0.0363382250174703
bsclnsdltocudfhuoactazliuuysqshhbicgnduyugwvxfovvgftg,Vigenere,0.04281567489114659
zijjmfxyqalfncebbvmlwxiyaqbqzngkdosfbdbhrezmfyqczrfxy,Vigenere,0.038461538461538464
golydajtkweipauxigfiesegtokztpmlpoiugeipnixeiphtsdvwirbtv,Vigenere,0.047619047619047616
ltqbagowzfjbytjskvjwetinxdwlhkuldbntbibgaatjkcyxgatvyv,Vigenere,0.04122990915443746
vjuayxywjcjgsnyduhqrpmcqfvxwycqhzeyhpqkvgujspvjhjct,Vigenere,0.04627450980392157
wjfvsedheopjndvyxlysnmoybzdsgqxsofgalibunfnzocxibqjrozo,Vigenere,0.03636363636363636
vajdmwmiovtpdywqjevizjkxbvvjevpeamhtvytirdnrkgvlcvtulro,Vigenere,0.04713804713804714
nzncvzhdzgryrpaoconiawmtqzuaamzuxtcjizlsvrdzmbdctsdoqzechy,Vigenere,0.043557168784029036
xxbwvxltvvpuausfzbwneznpdupcagargjypglbfodunctqvvmaqgxrtjal,Vigenere,0.037405026300409115
mmxmocgqzlgpppjzxeplsgxjozgloqijkpkhbdzynaqcmfjskhcgpt,Vigenere,0.0440251572327044
qzoinogyvuuapxwdrf,Vigenere,0.013071895424836602
owhltkwxjlykpmwkqhqogwptvsdcfzndcazuptohzwlbuzbcfukwwxuykt,Vigenere,0.04234724742891712
rwuoviugvinxgafmaciubapzivhntjkacfzickakcatzyvodzvi,Vigenere,0.04941176470588235
xsneriomgvvjlvxerjbosisiqcddwxldmjijpznqoeqacsqmdmeogzvm,Vigenere,0.04350649350649351
hfablhjohwsgusmaocrwvokslldkyeiwvgwaankxowuzqlzcmhzgod,Vigenere,0.03843466107617051
pgvriojlnxwfdswkckzhecjtrwmedxkgusihlbdeuqdfsdlgrmuudkxhp,Vigenere,0.03571428571428571
apxnzlhnudizvjzrhabgcyvotpradfhaztmrhaxhsvigzvhjpupl,Vigenere,0.0444947209653092
hazuimqlhcdvtjjhmkpbjzxqklgmjbpmvuchjwiliukxwfaopebdjksidvk,Vigenere,0.03915838690824079
qerbzkrcuqyomyuiekxdfvfukbhftxbuflfvqikmrseplkglvvaenz,Vigenere,0.03843466107617051
gmhfiskwmlysxhddsubfidkhxfrljvskjfvmkdlepwnhidbmyyvhydmyi,Vigenere,0.04949874686716792
qjrbkuqsbiafnkikcczvlimxvbektmmjesiuabtxynnqlh,Vigenere,0.035748792270531404
topnecvbqnyvktpyzsoxnhkeaodxkwpajujqkkzllgaodibvdpgvvsglvbq,Vigenere,0.03798947983635301
ztkictfxkgzlaoxoyjycowsyyfojkiowpceqrxyocapw,Vigenere,0.049682875264270614
wxjkwdxkzpjojqmhmuupasnrdtfcbcmywdjylgkjgzbwyqgkwzuxapm,Vigenere,0.03838383838383838
zxurtkuzyeghehajiqennudmiyjdesyerkerbkncnxmllvhqsijyzgatt,Vigenere,0.03696741854636591
rhljjdzmwkhnmhcvkvdnmxlcjhebzhikothiwnhbostgsctfiuomdhvzpj,Vigenere,0.04295220810647308
ptzhxusrbmperpipeuntrjipfazncxkkoduxflwiyseubaeihxzpnkb,Vigenere,0.03973063973063973
uqywusigpatjmauajpueishfzcyqbvcvbnfzjdolrrvopfjdgyodce,Vigenere,0.030747728860936407
zbkthswxvavvlvamxirylbrwlhamzswnlsmtndrnvjyarngs,Vigenere,0.04609929078014184
oknnxeqferwbonahxajwsdmouxlusuxzwbxtnceausyzgxmpvmwdp,Vigenere,0.03773584905660377
ycmvsbminzxdingrhjphsedoccqgjziqhayzmmqrajgphalamirgxcvx,Vigenere,0.03961038961038961
hijoubgsufafckjwronffmylugwfqfiamjpepwhbaqnrjjteqszsuldh,Vigenere,0.03636363636363636
zhcgtwmpkncveatmmqxsotffilatowmvewkkjxysrqjkclatotqcswnemp,Vigenere,0.03932244404113733
iraubcpkudkkanxstmgjvgylefcmkmkglqiopuaqzgupemoltjchanu,Vigenere,0.03636363636363636
ifuxyrkjrfgxbmvzlngfujjhxjgpqulkvhdzjwipmzdsjvvu,Vigenere,0.041666666666666664
gukislcihciypeveswcvrokuqqrhltrzvjejwjtwixpechfsvgizpqdg,Vigenere,0.03701298701298701
zloiwjuqaklkumkhxrdhdxujqfqxodafujeyinbelfpkonnkhtbfviwm,Vigenere,0.03506493506493506
beryvtvxtayzimezclamzipokjatixlsexkyxmamsiemvtowtvaivvqi,Vigenere,0.053246753246753244
vwytwtqqdzirhuszcbsjxoumsimvhrrzhvkxkafzqtcahxyxhbiluk,Vigenere,0.0363382250174703
tmniflatxkivdpltehlolfqtnldldhagguazannovazqjganoledysnhaz,Vigenere,0.05202661826981246
tmlyrcebdbapelsminkexcqulmluoiykwzslezuupvybdrqbliljittt,Vigenere,0.04220779220779221
jdckqxaqniklmmrqppbjutczacxygqznbbpummffvibqnacumxoegs,Vigenere,0.037037037037037035
uscwgezdpibfkacjknxnxverlkagmjhqiofnzkuvwbajvzqgyehoce,Vigenere,0.029350104821802937
cnrusuuocejndrjykndqaeqrjuodnasrkxdaxrfvzgxrfxzqbrtjhg,Vigenere,0.045422781271837874
uyjlebcnnyyrzntnfpxsanjiqxslrxxctwccryfqjnxcjbumnyjsb,Vigenere,0.054426705370101594
vvsqbxmulcby,Vigenere,0.030303030303030304
pjtygaecsrjfpcegufkvbvtqjqgvusbtlyozevwrzylqzrtabuevifxnap,Vigenere,0.03508771929824561
dwugcsqwnidvgyrlejppchfyjcodtldlpomoocjsbeomiobrqunzmkp,Vigenere,0.03569023569023569
dundauslbrbqibuefrcdahfnijrhhubignupadfhvvxpaersrbba,Vigenere,0.05279034690799397
ukquokcmgdorikjshpoejmnxbueckgmfhfllcwmrdvrrmzvpgkcnkhjuqvoqcwm,Vigenere,0.0409626216077829
crcxdngfyooktuuiimkqqqghokcqerxkqikorytnxyudkswreeo,Vigenere,0.04941176470588235
elxjgatipvkdlgtdyzkpclsdtkrlgtpfihwpsvgdwpspgpkicpprs,Vigenere,0.0602322206095791
plncailndyzsgsibwsacjbgbohwjunhbqepscuvihddzwmgihswoppw,Vigenere,0.041750841750841754
frfqsjmaaurbdcqntdjkwfhuvwklesuhzhyhlfotemxfehipfwvs,Vigenere,0.03544494720965309
nmxwcknbueaxeazuyqmfongjefmqaxgouftrsznizeayckzviqekywtpk,Vigenere,0.03634085213032581
ryysgujqcybqdsqflcjbbjbqtjywmulyljxydmyjeydacygqachl,Vigenere,0.06561085972850679
fqujdfslzmtwcclrtmzzyiavdnspwhhpxaftzcchsirivsjxaamjrm,Vigenere,0.03773584905660377
ukqskjtjepqcfrcevjkykgdzycdxboxlcwddezpekigooixduoavlrbyt,Vigenere,0.03634085213032581
tuqrqdhiskjnppozrnirpdobwnnwvboljlyrqx,Vigenere,0.03840682788051209
irynsbgvuaugkzebigeyzbwagnnpwutggagbtgqiogjrsuhfloggjr,Vigenere,0.06079664570230608
btkyqmhbbnyenwxycsqmkyfsvwahcxzwdpuuxozonddwsthabfeollwkyl,Vigenere,0.03569267997580157
xiawvkptfuwsnjkfxqzmbitbgovlmibpdxeyqvhpiteeuwefautedrv,Vigenere,0.03434343434343434
xadyrfoyzfeserugwsssvborqhivhzdcpvkqzqpjfilvpphiv,Vigenere,0.03741496598639456
ujbdykiwvkemyfqvefpkhzufkuarcacoeoxtodcvtlksvzyjvjtzqtvs,Vigenere,0.03831168831168831
rooacvvqgjiiuwszvjaivlofsvfdwrkmrscuiusxepsvxuvclrfusscu,Vigenere,0.05584415584415584
chcbhictgrlypsusupchyhkpfaqadcaicrlybtcogzopsgktwgfwv,Vigenere,0.04354136429608128
vomtadednzxegitumvrqudjuzvomtnuhzixefohkxopskefzlryoohk,Vigenere,0.039057239057239054
ezwdbcvknpdwwuoxsrkcxbjpubhkhmwuralzpdetaztuvzgpctlgrsfmysythuofqmv,Vigenere,0.031207598371777476
yjvkzbsnatgtvsrumcnpouegsxdqnmjpjhgugxdekiitdbscqmzii,Vigenere,0.03265602322206096
umfveqaxgndppbzsufriwqqtkkosnfmbrqztebdjgchbrqtuegtbrjmdyg,Vigenere,0.03569267997580157
ivglsvmdbimijhkgekobmijywntyhkofgeogtjexmpledafwho,Vigenere,0.03836734693877551
phqevfcyaoicaxdyoffxqapvqvzezuigogifikjoflwjrunchseqzag,Vigenere,0.037037037037037035
vksqngonmrweyeoinufzmeurvtokbokaywdwxaxzilgvdgprcuxnephmpri,Vigenere,0.032144944476914086
trkdamkfzvhuuoqgldmjzvrqscnjpbesxuuileqmbngjrkrvygyjdb,Vigenere,0.031446540880503145
qihluobuakphlohduucgdkpkqzvpdrbmhxfoaapjrrxmzodgtjrsqy,Vigenere,0.0363382250174703
kmiuyfpxycpghwdyzxnggmakjcwrubysvkdvltwdjcoyugyzbdufvfsglyyc,Vigenere,0.04293785310734463
vfwbgvtwofvncprqtjvmfhzwopsuwzqrkjdjvgzulwvcfjyzprsagrnmt,Vigenere,0.040726817042606514
svvjcxlberrxqblwwztmlkghrsyjwfzdbvtmheokaulnvbdwhvmfycou,Vigenere,0.032467532467532464
pifplynagazgqlejvemfhoirqnzelenameleahxfynvdpevfmsmovao,Vigenere,0.04915824915824916
qjubkhaaqwdlzdtwrnpxvexryqqfzycxxxqvlckaexcbqkvjwcmk,Vigenere,0.0444947209653092
hdkyafkgechkstmgyjmdulgudqoclmrlzrmdgpxsijncmfgbpgregud,Vigenere,0.04242424242424243
ktiblbathdybgvuwjhsmlzfjsvpodqeotlpuguyefhedheobqnijvc,Vigenere,0.03214535290006988
tfxighyqcwhamirvkiyrabilxtpjpuaefxiolzkwzejapzxyxwppuvtzbsx,Vigenere,0.0385739333722969
jwqdidppacaiqdbhbghwrfqhlzqhwfadjdcuhvmrleqbyxsgnjho,Vigenere,0.04072398190045249
ekddhefuyewwstbxfndkxzfobexjsxxhrexwlwajjcbdgwlgyecimjpu,Vigenere,0.04285714285714286
wnzgscqruxqjdcmgrczfihdjoemlkuxbztkuyabdcwzcwhokd,Vigenere,0.034013605442176874
gsvywgloxnvopcjokciwrpznmsfnwaxcxxnrivemzrecxmgavksakr,Vigenere,0.04122990915443746
gsjzycpolugwjzyvrnfuymcsltxyegwtufnddyzhpgdvzmxpyfxrxws,Vigenere,0.03973063973063973
dqfdwadkpxkhogvofqmwjcqulzyutwofgelbknnqkvvjwiqnnekiv,Vigenere,0.038461538461538464
jminrinehlfkcitpnaobukvobcadfgtookjizbsydiyfblvdsxfdaypsu,Vigenere,0.03508771929824561
zckemrkamytfmynrkoclaxzgcrinzjhbfmourtqfmoijaibrkzwk,Vigenere,0.042232277526395176
uzxdnsiq,Vigenere,0.0
wixeyifzbnmnvygxvzinmcopuibofoibopcrrnbpwoofqrgnrelhcbeefzp,Vigenere,0.04734073641145529
uedwwzhciudrtejcjeqdezejsowspdjvfdhddlwmuxhpwppjoshesp,Vigenere,0.05870020964360587
hobwddktlvnrrsapflglwmzywpfstgxckzrrsnywacrwibaezbsiskbyyp,Vigenere,0.03871748336358137
oytbrutidrkaieoynekdrpxroadeaeykaityoavayyjxrvkkyoblvehngo,Vigenere,0.05807622504537205
cnnuahcgmhpyjmkutofgqowpqdzqlaadvawwkhbedbdsqxxphzjddwmmw,Vigenere,0.03884711779448621
ytxczwxtkmaorrueuqtpjsmedaumtfqrarhhnbw,Vigenere,0.03508771929824561
udhozxawcmqsszdcddtcwpybnmghuwdtuumshoajyewjgunujyoiwumxpf,Vigenere,0.043557168784029036
hzoyblokkzzasypxakkzyslmejonlinztmrjejvzkbzlkgnvbnoa,Vigenere,0.05279034690799397
ymcdvwcmevdlogcqpbcnibrijxjoqmugiczmwsuhuiqwzwucajt,Vigenere,0.04
cszzvpkypncelfgveeysrtbcryivbcxeswaazzbsjsjvrognjjf,Vigenere,0.042352941176470586
baenaxxlwtbtgcgmlzdxqbsrahaowebmhcdxrtnylapphikzijfts,Vigenere,0.033381712626995644
kdlktdnnpxtnbsunotmgthdcyrteemywqyntmdkvxcbetxpqljnkujvta,Vigenere,0.046992481203007516
hcgxnerrhcwnduvwgpzadcncpgxrsagzzswgtpicpgatcrhtwgdb,Vigenere,0.05580693815987934
txhfakqvcujrenmlacthairmeuoksytcubchorqxrdevborwjwmlzsidx,Vigenere,0.03132832080200501
azioziiwhvhztkspchbulixnzxdxuviuclkwrckxvfbazekeljmfsow,Vigenere,0.03771043771043771
jucgyfjzqpmsfhuhvgzwdjxjjdkvcsmuejlvdydsjpopkdfdkisdfovi,Vigenere,0.05
vcvagnhfjuhjdqubqgqbkulpjolgzjdgjvuydykrugoyzbwydf,Vigenere,0.04653061224489796
xoemkxqjaeneptetfdvmdfdjnidaiftntalpuwmppuwmppucwmdpag,Vigenere,0.0517120894479385
ygkcypatpwpzlknfogfsahjdojushdkqtcdegueziqivrwcpnqvcj,Vigenere,0.029753265602322207
xehahxijujttaomrvbpctnxxnuujgntghapqneaeiinafeaqltyexydix,Vigenere,0.04949874686716792
mtvsvynsqximrlrwngiqfxxnnajzhxxgrmutsqjtclqdwspjwmpib,Vigenere,0.038461538461538464
cfxczmjouuklvsuxatvtjqogtdqpskmfjtatxitqaydueeyamue,Vigenere,0.042352941176470586
weggovbrxqeldaydkbuzipjupszqlmtvjcecsmayzbpuzpovvb,Vigenere,0.03346938775510204
tktgbntssappdgpykghstjftpctuuttetytfpqovvddeqlnmadlsbdb,Vigenere,0.05858585858585859
yfogxboppgeizpovbxqxcommuvgruojpistxjivrystbgzrzxpkcloj,Vigenere,0.04377104377104377
ziectzxolggocrtypforuoownzpceiugfcdsfuxckdechgsymwgsidxkt,Vigenere,0.041979949874686714
rvlshlzxiiqmyljeemeenliajpqmzncwuzivbhbjfwushqcatp,Vigenere,0.03428571428571429
ylkezglwvemvzabrlaymlrnazblmvtyvvplwaqqgavoobronkdnofijeux,Vigenere,0.04295220810647308
xomlzhavwtvmjuufmxaavxiwmkbazozmiigxvlsqkramjgimbqpxny,Vigenere,0.045422781271837874
xcwwxccolrhcriurmkhlyrdipdchzhduavhtloyiqgymhyrbsuefavhlj,Vigenere,0.042606516290726815
nidwsexqdzjpetvlmpfsydjzohrahsbtbofwcpbxtfworardnwpggwrrov,Vigenere,0.03569267997580157
itayfedjcitfojrnfxpkrojvzinhjjsrzavdwmynfnsysclryhqngyhjmp,Vigenere,0.03932244404113733
izqfkequnlhvooyuqumoycqhyrxuqoqpeujnzscqkjdjaamimdxyutnrd,Vigenere,0.043233082706766915
nowhzmrhmbvhyrziywmwwhzmfzcpspawgvnxlsyinzrhhusdnnjw,Vigenere,0.05128205128205128
npsyddipzvseoquxrxpdeyvytjhweculfrqfkditfjhgbtoimmytaht,Vigenere,0.030976430976430977
ywnfvgbaueqdnljbqhjgocwhakkkimhqplbjvtgywhuw,Vigenere,0.03488372093023256
tlpqhzawzmobawxzoopecsrihmddvwaxpskdtwtqzdlxpqfrupoclvpsdd,Vigenere,0.04295220810647308
sbbrrzezescjcwcoctianxjaijayjwmpwlsdhdasceezekm,Vigenere,0.045328399629972246
sysqgffgaswuulfqpgbshsryfsemmadhgrcuftqtphndjsitbhwu,Vigenere,0.04751131221719457
cadqsxliorivgmzetcrdjaozvhjrzkfpovasaaoqxklakaqcqs,Vigenere,0.045714285714285714
qmgevwpivgwjnqsqsbnvhfigrpzwryuigreprwvmyhqfsrvwawagxprh,Vigenere,0.05
agqwdemfpmxhtpzwggszhqgndmugohx,Vigenere,0.047311827956989246
growywpuxbxpwkhgzdnvpfphgjnzbcvlsakmqgrcslokyvxdvl,Vigenere,0.0326530612244898
msdmtcznkhbbsmsvxmscrtmooetcmmaetpeevsmkobwexchjgpwtlxsvzs,Vigenere,0.05565638233514821
dlwjfzpsdramigvqgynoyzmevcxuvjbbhvimtzbudrlwdkbullzayucygzx,Vigenere,0.034482758620689655
